"Abacus.AI";"abacus.ai"
"Bitvore";"bitvore.com"
"Blinkist";"blinkist.com"
"Blinkx";"blinkx.com"
"Blue River Technology";"bluerivertechnology.com"
"BlueSense Networks";"bluesensenetworks.com"
"Blueshift";"blueshift.com"
"Bonsai AI";"bons.ai"
"Botpress";"botpress.com"
"BotsAndUs";"botsandus.com"
"BotStar";"botstar.com"
"Bottlenose";"bottlenose.com"
"Box";"box.com"
"Brain Corp";"braincorp.com"
"BrainChip";"brainchipinc.com"
"BrickHouse Security";"brickhousesecurity.com"
"Bright.md";"bright.md"
"Brightcove";"brightcove.com"
"Brighter AI";"brighter.ai"
"Bryter";"bryter.com"
"Bubble";"bubble.io"
"Bugsee";"bugsee.com"
"Bunch.ai";"bunch.ai"
"BuntPlanet";"buntplanet.com"
"Butterfly Network";"butterflynetwork.com"
"C3.ai";"c3.ai"
"Cambridge Intelligence";"cambridge-intelligence.com"
"Cape Analytics";"capeanalytics.com"
"Caption Health";"captionhealth.com"
"Casetext";"casetext.com"
"Century Analytics";"centuryanalytics.com"
"Cerebras";"cerebras.net"
"Chaayos.ai";"chaayos.ai"
"Chorus.ai";"chorus.ai"
"Clarifai";"clarifai.com"
"Clarify Health";"clarifyhealth.com"
"ClarifyAI";"clarify.ai"
"ClearBrain";"clearbrain.com"
"Cleo";"cleo.com"
"Clinc";"clinc.com"
"CloudMedX Health";"http:cloudmedxhealth.com"
"CloudMinds";"cloudminds.com"
"CloudWalk";"cloudwalk.cnen"
"Cognigy";"cognigy.com"
"Cognimates";"cognimates.me"
"Cognism";"cognism.com"
"Cognitai";"cogitai.com"
"CognitiveScale";"cognitivescale.com"
"Cognitiveservices.ai";"cognitiveservices.ai"
"Cognitivesignals";"cognitivesignals.com"
"Cognitiveso";"cognitiveso.com"
"Cognitivesolutions";"cognitivesolutions.ca"
"Cognitivespace";"cognitivespace.com"
"Cognitivespaces";"cognitivespaces.com"
"Cognitivespring";"cognitivespring.com"
"Cognitivesurplus";"cognitivesurplus.com"
"Cognitivix";"cognitivix.ai"
"Coherent Logix";"http:coherentlogix.com"
"Cohesive Al";"cohesive.ai"
"Collaborative Drug Discovery CDD";"collaborativedrug.com"
"ComprehendAI";"comprehend.ai"
"Confirmed real'ish, with URL's, untested.";""
"Connected2Fiber";"connected2fiber.com"
"Consensus Networks";"consensusnetworks.com"
"Converseon";"converseon.com"
"Conversica";"conversica.com"
"Corti";"corti.ai"
"Cortical.io";"cortical.io"
"Coveo";"coveo.com"
"Creadits";"creadits.com"
"Creo";"creo.ai"
"Cropin";"cropin.com"
"CrowdFlower";"crowdflower.com"
"CrowdStrike";"crowdstrike.com"
"Cubic.ai";"cubic.ai"
"Cybereason";"cybereason.com"
"Cycorp";"http:cyc.com"
"Daisy Intelligence";"daisyintelligence.com"
"DARKTRACE";"darktrace.com"
"DarwinAI";"darwinai.ca"
"Databook";"databook.com"
"Databricks";"databricks.com"
"Datafold";"datafold.com"
"Dataiku";"dataiku.com"
"Dataiku";"dataiku.com"
"Dataiku";"dataiku.com"
"Datalog.ai";"datalog.ai"
"Datalog.ai";"datalog.ai"
"Datalogue";"datalogue.io"
"Datalogue";"datalogue.io"
"Datalytyx";"datalytyx.com"
"Dataminr";"dataminr.com"
"Datarobot";"datarobot.com"
"DataRobot";"datarobot.com"
"DataRobot";"datarobot.com"
"Datatron";"datatron.com"
"DataVisor";"datavisor.com"
"DataVisor";"datavisor.com"
"Datumize";"datumize.com"
"Deep 3";"deep-3.com"
"Deep 6 AI";"deep6.ai"
"Deep Genomics";"deepgenomics.com"
"Deep Instinct";"deepinstinct.com"
"Deep Instinct";"deepinstinct.com"
"Deep Vision";"deepvisionai.com"
"Deepgram";"deepgram.com"
"DeepHow";"deephow.com"
"DeepJunctionAI";"deepjunction.ai"
"Deeplite";"deeplite.ai"
"Deepomatic";"deepomatic.com"
"Deepsense.ai";"deepsense.ai"
"DefinedCrowd";"definedcrowd.com"
"Delft Robotics";"delftrobotics.nl"
"Dell EMC";"delltechnologies.com"
"Descartes Labs";"descarteslabs.com"
"Dessa";"dessa.com"
"Dessa Lab";"dessalabs.com"
"Dhivya AI";"dhivya.ai"
"Dialogflow";"cloud.google.comdialogflow"
"Dialpad";"dialpad.com"
"Diamanti";"diamanti.com"
"Diffblue";"diffblue.com"
"Diffia";"diffia.ai"
"DigiByte AI";"digibyte.ai"
"Digital Reasoning";"digitalreasoning.com"
"DigitalGenius";"digitalgenius.com"
"Digitalware";"digitalware.com"
"Dixa";"dixa.com"
"Doc.ai";"doc.ai"
"DocAuthority";"docauthority.com"
"DocDigitizer";"docdigitizer.com"
"Docsumo";"docsumo.com"
"DOMO";"domo.com"
"Dotin";"dotin.us"
"DreamQuark";"dreamquark.com"
"Dremio";"dremio.com"
"Dremio";"dremio.com"
"Drift";"drift.com"
"Drishti Technologies";"drishti.com"
"Drive.ai";"drive.ai"
"Drive.ai";"drive.ai"
"Dryad Networks";"dryadnetworks.com"
"DSco";"dsco.io"
"DSGinnovative Solutions";"dsginnovative.com"
"Duda";"duda.co"
"Eigen Technologies";"eigentech.com"
"Eightfold.ai";"eightfold.ai"
"Element AI";"elementai.com"
"Elula";"elula.ai"
"Emagin";"emagin.ai"
"Embody";"embodied.me"
"Embold";"embold.io"
"Empath Inc.";"web.empathinc.com"
"Endor";"endor.com"
"Enlitic";"enlitic.com"
"Enlitic";"enlitic.com"
"Entropik Tech";"entropiktech.com"
"Envisagenics";"envisagenics.com"
"Epica";"epica.ai"
"Epistemic AI";"epistemic.ai"
"Epsagon";"epsagon.com"
"Ergo";"ergo-apps.com"
"Erudify";"erudify.ai"
"Ethyca";"ethyca.com"
"EVA Bot";"evabot.ai"
"EventBot";"eventbot.ai"
"Everlaw";"everlaw.com"
"Evisort";"evisort.com"
"Evolv";"evolv.ai"
"Evolv Technology";"evolvtechnology.com"
"Exa.ai";"exa.ai"
"Exabeam";"exabeam.com"
"Eyeris";"eyeris.ai"
"Ezako";"ezako.com"
"Ezora";"ezora.com"
"Fabula AI";"fabula.ai"
"Face++";"faceplusplus.com"
"FaceBanx";"facebanx.com"
"Falkonry";"falkonry.com"
"Fashwell";"fashwell.com"
"Feedzai";"feedzai.com"
"Fero Labs";"ferolabs.com"
"Fetch Robotics";"fetchrobotics.com"
"Fiddler";"fiddler.ai"
"FigmaAl";"figma.com"
"Figmenta";"figmenta.com"
"FiveAI";"five.ai"
"Fractal";"fractal.ai"
"Fractal Analytics";"fractalanalytics.com"
"Freeness";"freeness.org"
"Freenetik";"http:freenetik.com"
"Freenome";"freenome.com"
"Freenome";"freenome.com"
"Freenomics";"freenomics.com"
"Freenotics";"http:freenotics.com"
"Freenumbers";"freenumbers.tech"
"FullStory";"fullstory.com"
"FundGuard";"fundguard.com"
"Fusemachines";"fusemachines.com"
"G2 Crowd";"g2.com"
"Gamalon";"gamalon.com"
"Gecko Robotics";"geckorobotics.com"
"GenesisAI";"genesisai.io"
"Genesys";"genesys.com"
"Geospiza";"geospiza.ai"
"Ghostwriter";"ghostwriter-ai.com"
"Gideon Brothers";"gideonbros.ai"
"Glean Labs";"gleanlabs.com"
"GleanAl";"glean.com"
"Glia";"glia.com"
"Gluru";"gluru.co"
"Gong";"gong.io"
"Gong.io";"gong.io"
"Goodly Labs";"goodlylabs.org"
"Google AI";"ai.google"
"Grakn.ai";"grakn.ai"
"Grammarly";"grammarly.com"
"Graphcore";"graphcore.ai"
"Graphcore";"graphcore.ai"
"GrayMatter AI";"graymatter.ai"
"Grid.ai";"grid.ai"
"Guardant Health";"guardanthealth.com"
"GumGum";"gumgum.com"
"Gyana";"gyana.com"
"Gyrfalcon Technology";"gyrfalcontech.ai"
"H2O.ai";"h2o.ai"
"H2O.ai";"h2o.ai"
"H2O.ai";"h2o.ai"
"Habana Labs";"habana.ai"
"Hacarus";"hacarus.com"
"Hailo";"hailo.ai"
"Halla";"hallalabs.com"
"Hazy";"hazy.com"
"HeadSpin";"headspin.io"
"Healthtech.AI";"healthtech.ai"
"Healx";"healx.io"
"Hello Alice";"helloalice.com"
"Hemlane";"hemlane.com"
"Hereafter";"hereafter.ai"
"Highspot";"highspot.com"
"Hints Al";"hints.so"
"Hive";""
"Hivemapper";"hivemapper.com"
"Hmlet AI";"hmlet.comsgen"
"Holistic Industries";"holisticindustries.com"
"HoloMatic";"holomatic.ai"
"Hopper AI";"hopper.ai"
"Hugging Face";"huggingface.co"
"Humanizing AI";"humanizing.ai"
"Humley";"humley.com"
"Hyper Anna";"hyperanna.com"
"Hypergiant";"hypergiant.com"
"Hypersay";"hypersay.com"
"Hyperscience";"hyperscience.com"
"Hypersonix";"hypersonix.ai"
"Hypotenuse Al";"hypotenuse.ai"
"IBM";"ibm.com"
"IBM Watson";"ibm.comwatson"
"Idibon";""
"Imagia";"imagia.com"
"iManage";"imanage.com"
"iMerit";"imerit.net"
"Immuta";"immuta.com"
"Inbenta";"inbenta.com"
"InData Labs";"indatalabs.com"
"Indico";"indico.io"
"Infermedica";"infermedica.com"
"Infermedica";"infermedica.com"
"Inferrd";"infrrd.ai"
"Infervision";"infervision.com"
"Infosys";"infosys.com"
"Inmind.ai";"inmind.ai"
"Innovaccer";"innovaccer.com"
"Innovusion";"innovusion.com"
"Inpher";"inpher.io"
"InsideSales";"insidesales.com"
"Insightful Science";"insightfulscience.com"
"Insightful Science";"insightfulscience.com"
"Insights.AI";"insights.ai"
"Insilico Medicine";"insilico.com"
"Insilico Medicine";"insilico.com"
"Instart Logic";"instart.com"
"Integromat";"integromat.com"
"Intel";"intel.com"
"Intellegens";"intellegens.ai"
"Intelligent Voice";"intelligentvoice.com"
"Intellimind";"intellimind.io"
"Intellimize";"intellimize.com"
"Intuition Robotics";"intuitionrobotics.com"
"Intuitive Surgical";"intuitive.com"
"InVision";"invisionapp.com"
"Invivoo";"invivoo.com"
"Invoca";"invoca.com"
"Invoca";"invoca.com"
"Iris Automation";"irisonboard.com"
"iRobot";"irobot.com"
"iRobot irobot.com";""
"Iterative.ai";""
"Iterative.ai iterative.ai";""
"Ivalua";"ivalua.com"
"Janrain";"janrain.com"
"Jask";"jask.com"
"JASK No longer accessible";""
"Jetlore";"jetlore.com"
"JFrog";"jfrog.com"
"Jina AI";"github.comjina-aijina"
"Jirav";"jirav.com"
"Jivox";"jivox.com"
"Joonko";"joonko.co"
"Joveo";"joveo.com"
"Juji";"juji.io"
"Jukin Media";"jukinmedia.com"
"Jukin Media";"jukinmedia.com"
"Jumbotail";"jumbotail.com"
"Jumio";"jumio.com"
"Jumio ";"jumio.com"
"JumpMind";"jumpmind.com"
"Jumprope";"jumprope.com"
"Jvion";"jvion.com"
"K Health";"khealth.ai"
"KAI";"kai.ai"
"KAI Analytics";"kai.ai"
"KAI OS";"kaiostech.com"
"KAIROS";"kairos.com"
"KALIDO.AI";"kalido.ai"
"Kapil Gupta";"twitter.comkapilguptabot"
"Kasisto kasisto.com";""
"Kaskada";"kaskada.com"
"Kea";"kea.ai"
"Keep";"keep.land"
"Kensho ";""
"KeyReply AI Chatbot";"keyreply.comchatbot"
"Keysight Technologies";"keysight.com"
"Kinetica";"kinetica.com"
"Kira Systems";"kirasystems.com"
"Kite ";"kite.com"
"KiwiTech";"kiwitech.com"
"Klevu";"klevu.com"
"Klevu ";"klevu.com"
"Klue";"klue.com"
"Kneron";"kneron.us"
"KNIME";"knime.com"
"KONTENTO";"kontento.be"
"KONTEXTO";"kontexto.ai"
"KONTEXTUAL";"kontextual.tech"
"KONUX";"konux.com"
"Kraydel";"kraydel.com"
"Kriptos";"kriptos.com"
"Kryon Systems";"kryonsystems.com"
"Kubeflow";"kubeflow.org"
"KUNGFU.AI";"kungfu.ai"
"Kyndi";"kyndi.com"
"Labellerr";"labellerr.com"
"LALPINA Hydrogen";"lalpinahydrogen.com"
"Landing AI";"landing.ai"
"Lattice Data";"crunchbase.comorganizationlattice-data"
"Lattice Data ";""
"Lava Labs";"lavalabs.be"
"Le Wagon";"lewagon.com"
"Leanplum ";"leanplum.com"
"Leap Motion";"ultraleap.com"
"Lemonade";"lemonade.com"
"LendBuzz";"lendbuzz.com"
"LevaData";"levadata.com"
"Likan Patra";"linkedin.cominlikanpatra"
"Lingk";"lingk.io"
"Lingoda";"lingoda.com"
"Linguix";"linguix.com"
"LinkedIn";"linkedin.com"
"Liris AI";"liris-ai.com"
"Livelii";"livelii.com"
"Llobregat Valley";"llobregatvalley.com"
"Lobe";"lobe.ai"
"LogicAI";"logicai.io"
"Logical Clocks";"logicalclocks.com"
"Logically";"logically.ai"
"LogiNext";"loginextsolutions.com"
"Logz.io";"logz.io"
"Logz.io ";"logz.io"
"LookaAl";"looka.com"
"Loop AI Labs";"loop.ai"
"Loop AI Labs ";"loop.ai"
"LovoAI";"lovo.ai"
"Lumen5";"lumen5.com"
"Lumiata";"lumiata.com"
"Luminance";"luminance.com"
"Luminar";"luminartech.com"
"Luminoth";"luminoth.ai"
"Lumos AI";"lumos.ai"
"LungLife AI";"lunglifeai.com"
"Lusk.ai";"lusk.ai"
"Lynx Analytics";"lynxanalytics.com"
"LyonSC";"ol.fren"
"Lyrebird AI";"lyrebird.ai"
"Lyst";"lyst.com"
"Lytix";"lytixbiopharma.com"
"Magic Leap";"magicleap.com"
"Magic Leap";"magicleap.com"
"Magic Pony Technology ";""
"MagicalAl";"magicalal.com"
"Mapbox";"mapbox.com"
"MapR Technologies";"mapr.com"
"MarcBot";"marcbot.com"
"MarkLogic";"marklogic.com"
"MarkopoloAl";"markopoloslabs.com"
"MathWorks";"mathworks.com"
"Matterport";"matterport.com"
"Mavenir Systems";"mavenir.com"
"MaxQ AI";"maxq.ai"
"MemAl";"menal.com"
"MemSQL";"memsql.com"
"Merlon Intelligence";"merlonintelligence.com"
"MetaMind";"metamind.io"
"Meya.ai";"meya.ai"
"Microsoft";"microsoft.com"
"MicroStrategy";"microstrategy.com"
"Mighty AI";"mighty.ai"
"Mighty AI";"mighty.ai"
"MindBridge Analytics";"mindbridge.ai"
"MindFoundry";"mindfoundry.ai"
"MindMeld";"mindmeld.com"
"MindMeld ";"mindmeld.com"
"MindTickle";"mindtickle.com"
"MindTickle";"mindtickle.com"
"MindTitan";"mindtitan.com"
"MinIO";"min.io"
"Minitab";"minitab.com"
"MioTech";"miotech.com"
"Mish Guru";"mish.guru"
"Mixpanel";"mixpanel.com"
"MoBagel";"mobagel.com"
"Mobvoi";"mobvoi.com"
"Modulate";"modulate.ai"
"Mojiworks";"mojiworks.com"
"Moloco";"moloco.ai"
"Molten";"molten.ai"
"Momentum";"getmomentum.com"
"MonkeyLearn";"monkeylearn.com"
"Moodbit";"moodbit.com"
"Moogsoft ";"moogsoft.com"
"Morpheus Labs";"morpheuslabs.io"
"MorphL";"morphl.ai"
"Mosaic Smart Data";"mosaicsmartdata.com"
"Mosaic.ai";"mosaic.ai"
"Mosaic.ai";"mosaic.ai"
"Mosaix";"mosaix.ai"
"Motion Al";"motion.ai"
"Moveworks";"moveworks.ai"
"Mphasis DeepInsights";"mphasis.comdeepinsights"
"Multiverse";"multiverse.io"
"MurfAl";"murf.ai"
"MuseNet";"openai.comblogmusenet"
"Mya Systems ";"mya.com"
"Myelin Foundry";"myelinfoundry.com"
"MyndYou";"myndyou.com"
"Mythic";"mythic-ai.com"
"Mythic ";"mythicai.com"
"name";"url"
"name";"url"
"Nanit";"nanit.com"
"Nanonets";"nanonets.com"
"Nanonets";"nanonets.com"
"NanoString Technologies";"nanostring.com"
"Nanowear";"nanowear.com"
"Nara Logics ";"naralogics.com"
"Narrative Science";"narrativescience.com"
"Nauto";"nauto.com"
"Nauto";"nauto.com"
"Nauto ";"nauto.com"
"NautoAI";"nautoai.com"
"Netradyne ";"netradyne.com"
"Neurable";"neurable.com"
"Neurable ";"neurable.com"
"Neurala";"neurala.com"
"NeuralBay";"neuralbay.com"
"Neurocom";"neurocom.ai"
"NeuroFlow";"neuroflow.com"
"Neurophate";"neurophate.ai"
"Neuton AI";"neuton.ai"
"Nexar";"getnexar.com"
"Next IT ";"nextit.com"
"Nextbase";"nextbase.com"
"Nightingale";"nightingalehealth.com"
"Nimbella";"nimbella.com"
"Niramai";"niramai.com"
"NLP Cloud";"nlpcloud.io"
"NLP Logix";"nlplogix.com"
"NLPBots";"nlpbots.com"
"Node";"node.io"
"Nuance";"nuance.com"
"Nuburu";"nuburu.net"
"Nucleai";"nucleaimd.com"
"Numenta ";"numenta.com"
"Numerai ";"numer.ai"
"Nutonomy ";"nutonomy.com"
"NVIDIA";"nvidia.com"
"ObjectBox";"objectbox.io"
"Objectivity";"objectivity.co.uk"
"Observe.AI";"observe.ai"
"Observify";"observify.com"
"Ohi AI";"ohi.ai"
"Oliver.ai";"oliver.ai"
"Omilia ";"omilia.com"
"Omnisci";"omnisci.com"
"One Concern";"oneconcern.com"
"OneClick.ai";"oneclick.ai"
"OneSoil";"onesoil.ai"
"Onfido";"onfido.com"
"Onshape";"onshape.com"
"OpenAI";"openai.com"
"OpenAI";"openai.com"
"OpenCV";"opencv.org"
"OpenGov";"opengov.com"
"OpenText";"opentext.com"
"Optibus";"optibus.com"
"Optimizely";"optimizely.com"
"Optum";"optumlabs.comworkartificial-intelligence.html"
"Orbbec";"orbbec3d.com"
"Orbital Insight";"orbitalinsight.com"
"Orbital Socket";"orbitalsocket.com"
"OrCam ";"orcam.com"
"Orchestra";"orchestrate.ai"
"Osaro";"osaro.com"
"Osirium";"osirium.com"
"Osmo";"playosmo.com"
"Osmo ";"playosmo.com"
"Owkin";"owkin.com"
"Oxagile ";"oxagile.com"
"Oxbotica";"oxbotica.com"
"Oxbotica ";"oxbotica.com"
"Ozlo Acquired by Facebook";""
"Pachyderm";"pachyderm.com"
"Palantir Technologies";"palantir.com"
"Palo Alto Networks";"paloaltonetworks.com"
"Paperspace";"paperspace.com"
"ParallelM";"parallelm.com"
"PathAI";"pathai.com"
"PathAI ";"pathai.com"
"PaveAI";"paveai.com"
"Peak AI";"peak.ai"
"Pecan ";"pecan.ai"
"Peltarion ";"peltarion.com"
"People.AI";"people.ai"
"People.ai ";"people.ai"
"Pepperdine University";"pepperdine.edu"
"Pepperfry";"pepperfry.com"
"PerceptiLabs";"perceptilabs.com"
"Percieve Box";"perceivebox.io"
"PerfitAI";"perfit.ai"
"PerimeterX ";"perimeterx.com"
"Peritus.ai";"peritus.ai"
"Persado";"persado.com"
"Persado ";"persado.com"
"Petuum";"petuum.com"
"Petuum ";"petuum.com"
"Phrasee";"phrasee.co"
"PicassoAI";"picassoai.com"
"Pienso";"pienso.com"
"PillPack";"pillpack.com"
"Pinpoint Predictive";"pinpointpredictive.com"
"Playment";"playment.io"
"PlumeAI";"plumeai.com"
"Pluralsight";"pluralsight.com"
"PocketConfidant AI";"pocketconfidant.com"
"Point AI";"point.ai"
"PolyAI";"polyai.com"
"Predata";"predata.com"
"PredictHQ";"predicthq.com"
"Predii ";"predii.com"
"Premonition";"premonition.ai"
"Previse";"previ.se"
"Primed";"primed.ai"
"Primer";"primer.ai"
"Primer AI ";"primer.ai"
"Prodigo";"prodigo.com"
"Prodigy";"prodi.gy"
"Prometeo";"prometeo.tech"
"Promptpal Al";"promptpal.net"
"Prowler.io";"prowler.io"
"Proximie";"proximie.com"
"Publer";"publer.io"
"Pylon AI";"pylon.ai"
"Pypestream";"pypestream.com"
"Pythia";"pythia.ai"
"PyTorch";"pytorch.org"
"Qatalog";"qatalog.com"
"Qeexo";"qeexo.com"
"QiO Technologies";"qio.io"
"Qlearsite";"qlearsite.com"
"Qloo";"qloo.com"
"Qmind";"qmind.ai"
"Qntfy";"qntfy.com"
"Qoggly";"qoggly.com"
"Qognify";"qognify.com"
"Qordoba";"qordoba.com"
"Qrativ";"qrativ.com"
"Quantemplate";"quantemplate.com"
"Quantum Computing";"dwavesys.comtake-leap"
"QuantumBlack";"quantumblack.com"
"Qubit";"qubit.com"
"QuestAI";"quest.ai"
"Quickpath";"quickpath.com"
"Quid";"quid.com"
"Quidnet Energy";"quidnetenergy.com"
"Quill";"quill.org"
"Quilt AI";"quilt.ai"
"Quinvio Al";"quinv.ioai"
"Quod AI";"quod.ai"
"Quotify";"quotify.ai"
"R";"r-project.org"
"Rage Frameworks";"rageframeworks.com"
"Rainbird";"rainbird.ai"
"Rainbird ";"rainbird.ai"
"RapidMiner";"rapidminer.com"
"RapidMiner ";"rapidminer.com"
"Rasa";"rasa.com"
"Rasa";"rasa.com"
"Rasa ";"rasa.com"
"Rasa Technologies";"rasa.com"
"RealityEngines.AI";"realityengines.ai"
"Realm";"realm.io"
"Realtime Robotics";"rtr.ai"
"Receptiviti";"receptiviti.com"
"Receptiviti Insights";"receptiviti.cominsights"
"Recime";"recime.io"
"Recursion Pharmaceuticals";"recursionpharma.com"
"Recursion Pharmaceuticals";"recursionpharma.com"
"Recursion Pharmaceuticals ";"recursionpharma.com"
"Redspace";"redspace.com"
"Reduct";"reduct.io"
"Refinitiv Labs";"refinitiv.comenlabs"
"Reflektion";"reflektion.com"
"Rekognition ";"aws.amazon.comrekognition"
"Rekognition Amazon";"aws.amazon.comrekognition"
"Relativity6";"relativity6.com"
"Remesh";"remesh.ai"
"Remesh ";"remesh.ai"
"Reminiz";"reminiz.com"
"Remove.bg";"remove.bg"
"RephraseAl";"rephrase.ai"
"Replex";"replex.io"
"Replicant ";"replicant.ai"
"Rescale";"rescale.com"
"Resemble AI";"resemble.ai"
"Resonai";"resonai.com"
"Reveal Group";"revealgroup.com"
"Reverberate";"reverberate.ai"
"Reverie Labs";"reverielabs.com"
"ReziAI";"rezi.ai"
"Ribon";"ribon.io"
"RightIndem";"rightindem.com"
"Riminder";"riminder.net"
"Roam Analytics";"roamanalytics.ai"
"Roam around";"roamaroo.comroamaround"
"Robotiq";"robotiq.com"
"Robovision";"robovision.ai"
"Robust Intelligence";"robustintelligence.com"
"RocketFuel ";"rocketfuel.com"
"RoomGPT";"roomgpt.io"
"Rulai";"rulai.ai"
"Rulai ";"rulai.com"
"Ruum";"ruumapp.com"
"Salesforce";"salesforce.com"
"Saleswhale";"saleswhale.com:an"
"SambaNova Systems";"sambanova.ai"
"Scale AI";"scale.com:an"
"Scale AI";"scale.com"
"Scale AI ";"scale.com"
"Sensely ";"sensely.com"
"SenseTime";"sensetime.com:an"
"SentinelOne";"sentinelone.com"
"Senzing";"senzing.com:an"
"SevenRooms";"sevenrooms.com"
"Seventh Sense ";"theseventhsense.com"
"Sherpa";"sherpa.ai:an"
"Shift Technology ";"shifttechnology.com"
"SiFive";"sifive.com"
"Sift ";"sift.com"
"Sift Science";"sift.com"
"Sight Machine ";"sightmachine.com"
"SightCall ";"sightcall.com"
"Sigtuple";"sigtuple.com:a"
"Singular";"singular.net:a"
